	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
     CCT_CCA	    1	0.00%	    1	100.00% Misclassified as: 
    JJCC_JJD	    1	0.00%	 null	0.00% Misclassified as: VBW-1(100.00)% | 
    JJCS_JJN	    1	0.00%	    1	100.00% Misclassified as: 
JJCS_JJN_CCP	    1	0.00%	 null	0.00% Misclassified as: JJCS_JJD_CCP-1(100.00)% | 
    JJCS_RBF	    1	0.00%	    1	100.00% Misclassified as: 
     JJC_JJD	    1	0.00%	 null	0.00% Misclassified as: JJCC_JJD-1(100.00)% | 
      NNC_LM	    1	0.00%	 null	0.00% Misclassified as: RBW_LM-1(100.00)% | 
      PRS_LM	    1	0.00%	    1	100.00% Misclassified as: 
      RBF_LM	    1	0.00%	 null	0.00% Misclassified as: JJCN_LM-1(100.00)% | 
    RBF_VBTR	    1	0.00%	 null	0.00% Misclassified as: NNC-1(100.00)% | 
 RBF_VBW_CCP	    1	0.00%	 null	0.00% Misclassified as: RBF_CCP-1(100.00)% | 
      RBI_LM	    1	0.00%	 null	0.00% Misclassified as: PRS_LM-1(100.00)% | 
    RBL_NNPA	    1	0.00%	    1	100.00% Misclassified as: 
 RBL_NNP_NNP	    1	0.00%	 null	0.00% Misclassified as: RBL_NNP-1(100.00)% | 
     RBN_CCP	    1	0.00%	 null	0.00% Misclassified as: PRI_CCP-1(100.00)% | 
      RBQ_LM	    1	0.00%	 null	0.00% Misclassified as: PRS_LM-1(100.00)% | 
     RBR_DTP	    1	0.00%	 null	0.00% Misclassified as: RBR-1(100.00)% | 
     RBT_CCT	    1	0.00%	 null	0.00% Misclassified as: RBT_CCP-1(100.00)% | 
     RBW_CCA	    1	0.00%	 null	0.00% Misclassified as: RBW-1(100.00)% | 
    VBOB_CCP	    1	0.00%	 null	0.00% Misclassified as: VBTS_CCP-1(100.00)% | 
        VBTP	    1	0.00%	 null	0.00% Misclassified as: JJD-1(100.00)% | 
   VBTR_VBOB	    1	0.00%	 null	0.00% Misclassified as: VBTS-1(100.00)% | 
     VBTS_LM	    1	0.00%	 null	0.00% Misclassified as: VBTS-1(100.00)% | 
VBTS_VBOF_CCP	    1	0.00%	 null	0.00% Misclassified as: VBTR_CCP-1(100.00)% | 

Average Precision: 0.7315371313561538
Average Recall: 0.694615002180688
Accuracy: 0.9612179879916677(78445/81610)
GoldTag	PredTag	Word	Sent#	Word#
G:CCB P:CCT Kabilang 1548 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 2491 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 2655 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 2974 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 324 0 		Context - *Kabilang|CCT* sa|CCT Parokya|NNP 
G:CCB P:CCT Kabilang 396 0 		Context - *Kabilang|CCT* ang|DTC Institute_of_Financial_Management|NNP 
G:CCB P:CCT Kabilang 530 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT kabilang 1800 29 		Context - )|PMS ;|PMSC *kabilang|CCT* sa|CCT pamilyang|NNC_CCP 
G:CCB P:JJD kabilang 1728 38 		Context - hanggang|RBW sa|CCT *kabilang|JJD* ibayo|NNC ng|CCB 
G:CCB P:JJD_CCP kabilang 916 1 		Context - Sa|CCT *kabilang|JJD_CCP* kamay|NNC ,|PMC 
G:CCB P:NNC gayuman 2740 12 		Context - layunin|NNC ,|PMC *gayuman|NNC* ,|PMC kayang|RBD_CCP 
G:CCB P:PRC Gayon 1186 0 		Context - *Gayon|PRC* pa|RBI man|RBI 
G:CCB P:PRC Gayon 304 0 		Context - *Gayon|PRC* pa|RBI man|RBI 
G:CCB P:PRC gayunman 600 3 		Context - 1894|CDB ,|PMC *gayunman|PRC* napasa-kamay|VBTS ng_mga|DTCP 
G:CCB P:RBD nang 42 14 		Context - at|CCA lilipad|VBTF *nang|RBD* mag-isa|RBD pagtapos|RBW 
G:CCB P:RBD nang 771 43 		Context - upang|CCB mag-ehersisyo|VBAF *nang|RBD* walang|RBF paghihigpit|NNC 
G:CCB P:RBW nang 1116 9 		Context - sa|CCT araw|NNC *nang|RBW* diretso|RBD sa|CCT 
G:CCB P:RBW nang 1321 15 		Context - ang|DTC impact|FW *nang|RBW* bloo|FW antigen|FW 
G:CCB P:RBW nang 1874 13 		Context - dahil_dito|RBP gumagawa|VBTR_VBAF *nang|RBW* inihurnong|VBTS produkto|NNC 
G:CCB P:RBW nang 1897 4 		Context - na|CCP iniisip|VBTR *nang|RBW* lipunan|NNC ay|LM 
G:CCB P:RBW nang 1993 1 		Context - Una|CDB *nang|RBW* inayawan|VBTS ni|DTP 
G:CCB P:RBW nang 2998 20 		Context - sa|CCT tumatanda|VBTR_VBAF *nang|RBW* linyang|NNC_CCP Apple|NNP 
G:CCB P:RBW nang 376 1 		Context - Nagdadala|VBTR *nang|RBW* mas|JJCC maraming|PRI_CCP 
G:CCP P:CCB ng 1219 11 		Context - ang|DTC 1/10|CDB *ng|CCB* kanyang|PRSP_CCP kikitain|VBTF 
G:CCP P:CCB ng 129 25 		Context - mula_sa|RBL oras|NNC *ng|CCB* kapanganakan|NNC ngunit|CCT 
G:CCP P:CCB ng 1562 6 		Context - ,|PMC hari|NNC *ng|CCB* jazz|FW ,|PMC 
G:CCP P:CCB ng 915 6 		Context - na|CCP sistema|NNC *ng|CCB* komunikasyon|NNC para_sa|RBB 
G:CCP P:DTP ni 1235 4 		Context - na|CCP pagtatanong|NNC *ni|DTP* Milgram|NNP ,|PMC 
G:CCP P:RBI na 1016 9 		Context - ,|PMC kabilang|CCB *na|RBI* ang|DTC liberalismo|NNC 
G:CCP P:RBI na 1020 1 		Context - Kahit|CCT *na|RBI* ang_mga|DTCP pananampalataya|NNC 
G:CCP P:RBI na 1262 15 		Context - ,|PMC pati|CCA *na|RBI* rin|RBI isa|PRI 
G:CCP P:RBI na 1308 14 		Context - 1482|CDB kasali|CCB *na|RBI* ang_mga|DTCP tabas|NNC 
G:CCP P:RBI na 1416 6 		Context - kapanabayan|NNC kabilang|CCB *na|RBI* ang|DTC dati|JJD 
G:CCP P:RBI na 1603 22 		Context - ,|PMC kasama|CCB *na|RBI* dito|PRL ang|DTC 
G:CCP P:RBI na 1668 22 		Context - ,|PMC pati|CCA *na|RBI* rin|RBI sa|CCT 
G:CCP P:RBI na 1701 25 		Context - ,|PMC lalo|JJCC *na|RBI* sa|CCT oras|NNC 
G:CCP P:RBI na 1798 1 		Context - Kahit|CCT *na|RBI* ang_mga|DTCP Espanyol|NNP 
G:CCP P:RBI na 1869 43 		Context - ,|PMC pati|CCA *na|RBI* rin|RBI inaalok|VBTR 
G:CCP P:RBI na 1893 25 		Context - ,|PMC pati|CCA *na|RBI* rin|RBI ng|CCB 
G:CCP P:RBI na 1916 33 		Context - e.g|NNCA kahit|CCT *na|RBI* sa|CCT mansanas|NNC 
G:CCP P:RBI na 1959 7 		Context - suportado|JJD lalung-lalo|JJCC *na|RBI* ang|DTC kanilang|PRSP_CCP 
G:CCP P:RBI na 2089 23 		Context - ay|LM hindi|RBF *na|RBI* malapit|JJD sa|CCT 
G:CCP P:RBI na 2103 9 		Context - ,|PMC kasama|CCB *na|RBI* dito|PRL ang|DTC 
G:CCP P:RBI na 2221 18 		Context - Snowie|NNP pati|CCA *na|RBI* rin|RBI ang|DTC 
G:CCP P:RBI na 2258 1 		Context - Kahit|CCT *na|RBI* ang|DTC demanda|NNC 
G:CCP P:RBI na 2336 15 		Context - ,|PMC pati|CCA *na|RBI* rin|RBI ang|DTC 
